clean_text,label
Our idiot governor lifted the mask mandate but our county didnt. Service industry folks are gonna be getting by a lot of shit from assholes who refuse to wear masks this weekend &amp; beyond.,0
Wear a Mask,0
Please just wear a mask ,0
"Sacramento has one of the lowest Covid-19 rates for a city &amp; we peaked April 7, but Mayor now orders masks &amp; stills restricts businesses. ",1
"1/2 I have successfuly undergone chemotherapy treatment.My cancer is gone but chemo weakened my immune system.The coronavirus is most infectious even before a positive test result.If I am masked but a carrier is not I can be infected.If we all wear masks, I will be fine.",0
@danielwerwath Feeling your pain. We had a Sunday morning emergency job and paid (lots) by check. Our neighbor found the check in the street a couple days later. Plus the plumber didn’t want to wear a mask. Good times.,2
"@MrHayes08 @realDonaldTrump Anyone could have done better. Here's how you do better: you listen to your scientists, u wear a mask, you don't call it a hoax. I mean seriously, do I have to go on? BTW, CT is a blue state and we're one of best states in the country for controlling Covid. How's Kentucky doing?",0
New Updates!!! 💙🐴💙🚨Athletes make sure you have a mask Monday!!!🚨 ,2
"sometime in the future, we'll look back at these days when we had to wear #facecoverings to protect ourselves from the #coronavirus #pandemic... and businesses sold #masks and #bandanas to supplement their sales… ",2
Went for a precautionary covid test yesterday at Hansen Dam. Right next to the testing drive thru was a skate park filled with kids and zero masks? This is part of the problem. Why? @MayorOfLA @GavinNewsom ,0
I support face masks to be needed in highly condensed areas.  To try and prevent the covid virus from spreading.  To help the sick and older generation from leaving there loved ones too soon.,0
"🥁🥁🥁 Dear Ted, this is fu😷king exhausting. #COVIDIOTS #MaskHoles ",2
Really hope all the people who were protesting in front of the #nvleg on Wednesday and screaming at me for wearing a “diaper” on my face see this video. Wear a mask. #COVIDー19 ,0
"I am a metastatic breast cancer patient. I wear a mask to show my oncologist, triage nurses and infusion nurses that I care. Besides @RushCancer  wouldn't let me past the lobby without one. ",0
Busy day for @Illinois_Alma COVID-19 Saliva Tests...longest line and wait I have had thus far going into my 5th week of testing. This is great...it means people are taking this seriously and caring for others! #maskup #spitinatube #illinileading 🔶🔷💯,0
@seanhannity Trump on Covid-19 in late Feb: “We’ve got 15 cases &amp; within a few days it will be down close to 0.”Trump in early Aug: “Things are bad &amp; will get worse before they get better. We need to do our part &amp; wear masks &amp; social distance.”It took Trump 162 days to figure this out??? ,0
@itsveinadarling @GovRaimondo What good does it do you to find out your status? Can you now take off your mask if negative? Is there a specific treatment if positive? If positive then can one assume she no longer ‘needs’ a vaccine? There is no change to you regardless of the results of this test. It’s waste!,2
Happy Covid-19 Memorial Day Weekend Sunday!  Abstract art mask masksforacause burbankca #wewillsurvive #doingmypart #socialdistancing #coronavirüsü @ Whole Foods Market ,0
friendly reminder that covid denial//anti-mask bullshit is thinly veiled anti-vax rhetoric from people who literally do not give a shit about people other than themselves #maskupPHL ,0
"I wish this was a joke... but it’s reality. America, where you can’t fix stupid and you can’t mask it either! ",2
You and your husband are proving to be hypocrites. Proof in the science that #BillGates #vaccines #DestroyLives Your global agenda to #DEPOPULATE  is waking the people up. #NoToMasks #NoToVaccines #StopLivingInFear ,1
They finally let the Court outside. *Just took my mask off for the picture. We're still social distancing over here. The Sun on my face feels epic. @ Warwick Valley Winery and Distillery ,2
There are already people lined up for the Dumpy rally in Tulsa. I can't think of anything or anyone I like enough to do that. Masks and social distancing are rare. One possible bright spot: fewer Trump voters come election day? I know that's nasty. Fuck 'em.,2
"@patty_guynn @KetoBen @HuttoRandall So my take on the lockdown. My wife being a dental professional had no adequate PPE supplies. In fact none of them did. No masks for businesses, no cleaning supplies for businesses, no toilet paper lol. To me it was a supply/demand issue to keep people safe while staying open.",2
"They are bringing it to Summit County. I know Business relies on Tourism, but a lot of these people are going up to camp &amp; party. There’s no way they are wearing #Masks in the Campgrounds.. in fact I know they are not as many allow A22No more than 10” on a site. Do the #Covid math.",0
@ArnoldusJohann1 @DanScavino 6% have died from Covid the rest have died from underlying conditions. Masks don't work. ,1
#PublicHealthHaikuMask up Wisconsin!Protect yourself and others Covid's a real threat. #MaskUp #Covid_19 ,0
Good Morning!! Choose coffee. Have a safe &amp; fantastic Friday!!#coffeetime #lifetips #WearAMask ,2
Wonder if our back to school plans will involve time for all teachers &amp; students to properly wash their hands after each class. Might be the most effective way to stop the virus after masks. Hand sanitizer: not good enough! ,0
"#WearAMask and #VOTE! #EarlyVoting in Texas is happening right now, and we saw so much being done to protect the health of voters. There was hand sanitizer at the entrance, disposable gloves, poll workers wearing… ",0
"@_SteveTheCloser They're very active on Twitter right now. I'll read an article on COVID, and the entire reply thread is science deniers, anti maskers. They're getting desperate, and we've learned recently the Russian disinfo is even more intense than in '16.",2
"@RandPaul @realDonaldTrump If masks did not prevent transmission of disease, doctors wouldn’t have to wear them during surgery.  You’re ok with surgeons leaving off their masks?  Most people I see wear surgical masks, not cloth, but anything minimizes spread esp if everyone wears a mask.",0
